step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.00884697199782,0,0.0,0.9004771418900399,0,0.0
20.0,0,0.0,0.0,12.147796724089112,0,0.0,0.9819376336167152,0,0.0
25.0,0,0.0,0.0,12.213887032160692,0,0.0,0.9873656561307349,0,0.0
30.0,0,0.0,0.0,12.254645543121526,0,0.0,0.978651387397497,0,0.0
35.0,0,0.0,0.0,12.176382728463366,0,0.0,0.9623313662000292,0,0.0
40.0,0,0.0,0.0,12.489037400537324,0,0.0,0.9886346813963474,0,0.0
45.0,0,0.0,0.0,12.449583094727842,0,0.0,0.9494555247422386,0,0.0
50.0,0,0.0,0.0,12.965859961043172,0,0.0,0.9804347070445497,0,0.0
55.0,0,0.0,0.0,12.668817109006618,0,0.0,0.955329215447908,0,0.0
60.0,0,0.0,0.0,12.794441296653964,0,0.0,0.9652586468372112,0,0.0
65.0,0,0.0,0.0,12.966144925020366,0,0.0,0.9756380542686555,0,0.0
70.0,0,0.0,0.0,13.088742457176318,0,0.0,0.9845543017810597,0,0.0
75.0,0,0.0,0.0,12.985098331943282,0,0.0,0.9648251504631509,0,0.0
80.0,0,0.0,0.0,13.09657169416518,0,0.0,0.9728717260546108,0,0.0
85.0,0,0.0,0.0,12.167517771814424,0,0.0,0.8935990051838301,0,0.0
90.0,2,6.0,0.375,11.202030787613957,2,6.0,0.8199681820932792,2,6.0
95.0,2,5.0,0.25,10.060806574888254,2,19.0,0.7282448429472538,2,19.0
100.0,2,15.0,0.625,11.043342893304114,2,15.0,0.8387403105910352,2,15.0
105.0,2,25.0,0.9259259259259259,11.82952906921616,2,25.0,0.8678856665295617,2,25.0
110.0,2,35.0,1.206896551724138,12.028357454937808,2,35.0,0.8695403441961624,2,35.0
115.0,4,51.0,1.7586206896551724,11.026110686685156,4,51.0,0.7833881714746872,4,51.0
120.0,5,76.0,2.533333333333333,10.781589553990084,5,76.0,0.7672997408485602,5,76.0
125.0,6,105.0,3.1818181818181817,10.414261344229761,6,105.0,0.7467791060015785,6,105.0
130.0,7,137.0,4.029411764705882,10.377488261138865,7,137.0,0.723641855723599,7,137.0
135.0,6,158.0,4.27027027027027,10.6053305853634,6,158.0,0.7613522294725932,6,158.0
140.0,7,189.0,4.725,10.656807861916988,7,189.0,0.755826704165537,7,189.0
145.0,7,224.0,5.333333333333333,10.846788070521589,7,224.0,0.760701548083831,7,224.0
150.0,10,263.0,5.717391304347826,9.953782440203808,10,263.0,0.6847533743591604,10,263.0
155.0,13,318.0,6.76595744680851,8.700115426771225,13,320.0,0.5775515385228875,13,320.0
160.0,15,392.0,7.2592592592592595,9.049269154158544,15,392.0,0.6286497766409507,15,392.0
165.0,14,458.0,8.327272727272728,8.729525459702655,14,466.0,0.6031389551596654,14,466.0
170.0,18,545.0,9.39655172413793,8.947029086392748,18,545.0,0.6161452489032242,18,545.0
175.0,16,615.0,9.761904761904763,8.793916082168225,16,633.0,0.6055602812160523,16,633.0
180.0,18,702.0,10.636363636363637,8.841843381902915,18,702.0,0.6390640074683384,18,702.0
185.0,19,794.0,11.676470588235293,9.115088039282684,19,794.0,0.6446191637479922,19,794.0
190.0,20,891.0,12.04054054054054,9.170037386979166,20,891.0,0.6332493146199185,20,891.0
195.0,23,997.0,12.4625,9.227187134932628,23,1003.0,0.6348378133040912,23,1003.0
200.0,23,1112.0,13.397590361445783,9.441933965422004,23,1112.0,0.6383698366924284,23,1112.0
205.0,26,1234.0,14.867469879518072,9.090945302623874,26,1234.0,0.6050494703990515,26,1234.0
210.0,28,1368.0,15.906976744186046,8.706657836110205,28,1368.0,0.5729325647460429,28,1368.0
215.0,27,1499.0,16.118279569892472,8.894236044765687,27,1515.0,0.5889959512668,27,1515.0
220.0,27,1634.0,16.178217821782177,9.337678482210446,27,1634.0,0.6374614634750957,27,1634.0
225.0,28,1770.0,17.01923076923077,9.154853588248896,28,1770.0,0.6111262129126269,28,1770.0
230.0,33,1929.0,17.69724770642202,8.83319618775444,33,1929.0,0.5769262071050081,33,1929.0
235.0,34,2078.0,18.228070175438596,8.52834472279571,34,2112.0,0.552462582599976,34,2112.0
240.0,30,2197.0,18.462184873949578,8.591016935579326,30,2213.0,0.5831284624098697,30,2213.0
245.0,36,2359.0,19.658333333333335,8.385089722260568,36,2376.0,0.5488219832486997,36,2376.0
250.0,45,2564.0,20.512,7.9554327074825135,45,2580.0,0.493005613774468,45,2580.0
255.0,44,2747.0,21.8015873015873,8.125315551025837,44,2816.0,0.5051036742892477,44,2816.0
260.0,35,2867.0,21.71969696969697,8.638103058863477,35,2912.0,0.5793577982076319,35,2912.0
265.0,41,3057.0,22.644444444444446,8.454865752567798,41,3102.0,0.543402072519441,41,3102.0
270.0,49,3292.0,23.514285714285716,8.304268094865275,49,3337.0,0.5127284888559399,49,3337.0
275.0,50,3488.0,24.055172413793102,7.953771605015534,50,3564.0,0.4956263623438318,50,3564.0
280.0,46,3641.0,24.60135135135135,8.042035104603297,46,3685.0,0.5228427687928977,46,3685.0
285.0,51,3881.0,25.2012987012987,8.020043852273815,51,3925.0,0.5113921559552406,51,3925.0
290.0,57,4157.0,25.98125,7.898806874370147,57,4201.0,0.48823698671198873,57,4201.0
