step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.734698172187429,0,0.0,0.8796425916724308,0,0.0
20.0,0,0.0,0.0,13.197791531906667,0,0.0,0.9794257488748337,0,0.0
25.0,0,0.0,0.0,13.21537766075108,0,0.0,0.9829053411788625,0,0.0
30.0,0,0.0,0.0,12.811175840125244,0,0.0,0.9269819255604386,0,0.0
35.0,0,0.0,0.0,12.970984129989674,0,0.0,0.9559638128544883,0,0.0
40.0,0,0.0,0.0,13.265660371281609,0,0.0,0.9807306467254499,0,0.0
45.0,0,0.0,0.0,13.109927321096444,0,0.0,0.964035529088849,0,0.0
50.0,0,0.0,0.0,13.356432554179918,0,0.0,0.980605650396131,0,0.0
55.0,0,0.0,0.0,12.830113741665972,0,0.0,0.9450114957649741,0,0.0
60.0,0,0.0,0.0,12.927896255425281,0,0.0,0.947540150957494,0,0.0
65.0,0,0.0,0.0,12.879365426405968,0,0.0,0.9519041252224513,0,0.0
70.0,1,3.0,0.25,12.191062832618213,1,3.0,0.9053798100246079,1,3.0
75.0,1,8.0,0.5714285714285714,11.611047792575834,1,8.0,0.8549497914130206,1,8.0
80.0,2,18.0,1.2857142857142858,10.980279239611365,2,18.0,0.8090018108384945,2,18.0
85.0,3,32.0,2.0,10.464459100535674,3,32.0,0.768926641926344,3,32.0
90.0,3,47.0,2.9375,10.873212192503955,3,47.0,0.7979119167716696,3,47.0
95.0,4,63.0,3.15,9.632118867967359,4,63.0,0.6967378167616725,4,63.0
100.0,6,87.0,3.625,9.788034184386278,6,87.0,0.6977587044183658,6,87.0
105.0,6,117.0,4.333333333333333,10.411568571739842,6,117.0,0.7296149867334295,6,117.0
110.0,7,148.0,5.103448275862069,10.270832418832411,7,148.0,0.7183528419174627,7,148.0
115.0,9,188.0,6.482758620689655,9.4227385048389,9,188.0,0.654042799289571,9,188.0
120.0,11,238.0,7.933333333333334,8.922307747342838,11,238.0,0.6223856989296159,11,238.0
125.0,11,293.0,8.617647058823529,9.043567933978833,11,293.0,0.6247468754292822,11,293.0
130.0,12,351.0,10.028571428571428,9.028784597697618,12,351.0,0.6141004364690259,12,351.0
135.0,13,414.0,10.894736842105264,9.248106057391754,13,414.0,0.625058535875107,13,414.0
140.0,14,480.0,11.707317073170731,8.877765887852071,14,480.0,0.5988676951069157,14,480.0
145.0,16,555.0,12.906976744186046,8.456349592756284,16,555.0,0.5680197776111028,16,555.0
150.0,18,640.0,13.617021276595745,8.133336289885326,18,640.0,0.5550049747223406,18,640.0
155.0,20,736.0,15.333333333333334,7.370368024177924,20,736.0,0.5056524214323427,20,736.0
160.0,24,851.0,15.472727272727273,7.272879836596395,24,851.0,0.4969983760124041,24,851.0
165.0,25,976.0,16.82758620689655,7.345030818085545,25,976.0,0.5000161659053369,25,976.0
170.0,27,1108.0,18.16393442622951,7.531387845412171,27,1108.0,0.51369573779586,27,1108.0
175.0,29,1248.0,18.90909090909091,7.605028293224037,29,1248.0,0.5246126330128943,29,1248.0
180.0,31,1397.0,19.676056338028168,7.286437082283731,31,1397.0,0.5195312419687315,31,1397.0
185.0,33,1559.0,21.06756756756757,7.067078799459572,33,1559.0,0.504976572570604,33,1559.0
190.0,37,1736.0,21.7,6.784451599727619,37,1736.0,0.4985558492716855,37,1736.0
195.0,40,1928.0,22.68235294117647,6.932561957897771,40,1928.0,0.5085965730647385,40,1928.0
200.0,40,2128.0,24.181818181818183,7.221079532222912,40,2128.0,0.5279503181048681,40,2128.0
205.0,41,2329.0,26.168539325842698,7.050429847285999,41,2329.0,0.5140726724584965,41,2329.0
210.0,44,2541.0,27.619565217391305,6.521667672559776,44,2541.0,0.4714743835609709,44,2541.0
215.0,49,2779.0,27.79,6.226284489165168,49,2779.0,0.4527869569963455,49,2779.0
220.0,53,3038.0,28.39252336448598,6.189507919790724,53,3038.0,0.4510732593342741,53,3038.0
225.0,57,3319.0,29.9009009009009,6.29240120019947,57,3319.0,0.45366424205106354,57,3319.0
230.0,58,3607.0,30.82905982905983,6.388289077331119,58,3607.0,0.45968859273431056,58,3607.0
235.0,61,3907.0,31.764227642276424,6.202411628931031,61,3907.0,0.44897077364937293,61,3907.0
240.0,68,4234.0,32.56923076923077,5.846772436725417,68,4234.0,0.4216159813069124,68,4234.0
245.0,73,4586.0,34.4812030075188,5.589308627176503,73,4587.0,0.39730785426798404,73,4587.0
250.0,79,4966.0,35.726618705035975,5.3843246968584815,79,4967.0,0.3790877577349079,79,4967.0
255.0,83,5374.0,37.84507042253521,5.29978989812631,83,5375.0,0.37062837413171024,83,5375.0
260.0,86,5800.0,38.92617449664429,5.398974357498167,86,5801.0,0.3819796728403578,86,5801.0
265.0,88,6237.0,40.76470588235294,5.476191801208537,88,6238.0,0.3928018695127911,88,6238.0
270.0,91,6684.0,42.57324840764331,5.135022132793941,91,6685.0,0.3698781616361922,91,6685.0
275.0,99,7166.0,43.69512195121951,4.800280792441977,99,7167.0,0.3452966147421573,99,7167.0
280.0,106,7686.0,45.75,4.641893488528813,106,7687.0,0.3311795437586687,106,7687.0
285.0,111,8231.0,46.50282485875706,4.568484389859634,111,8232.0,0.3257976385134939,111,8232.0
